data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage,cbmaker,combos,sfiha,kit1,kit2,snack,pastas,dishes,promotion,savory,salads,range,dessert1,desserte,pizzas1,pizzase,beverage1,beveragee,cbmaker1,cbmakere,combos1,combose,sfiha1,sfihae,kit11,kit1e,kit21,kit2e,snack1,snacke,pastas1,pastase,dishes1,dishese,promotion1,promotione,savory1,savorye,salads1,saladse
"23/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,45770.00,4.00,32.00,21.00,25.30,76.00,6.60,"TUE",1,3,2110.00,139.00,1342.00,0.00,460.00,30646.00,8.00,2.00,940.00,383.00,325.00,0.00,9366.00,49.00,"Range-11",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"24/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,66689.00,4.20,33.70,20.60,25.92,69.00,4.60,"WED",1,3,2725.00,241.00,1875.00,0.00,1471.00,45532.00,27.00,0.00,1201.00,384.00,419.00,0.00,12782.00,32.00,"Range-17",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"25/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,84025.00,3.75,29.70,20.60,24.26,82.00,6.20,"TUR",1,3,3605.00,359.00,2595.00,0.00,2173.00,56623.00,32.00,1.00,1772.00,656.00,755.00,0.00,15393.00,61.00,"Range-25",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"26/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,51765.00,3.75,24.80,19.80,21.88,85.00,1.20,"FRI",2,3,3048.00,349.00,1904.00,0.00,2799.00,29128.00,37.00,5.00,1626.00,521.00,620.00,0.00,11692.00,36.00,"Range-18",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"27/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,57982.00,0.30,25.10,18.50,21.12,85.00,1.00,"SAT",3,3,3005.00,386.00,1950.00,0.00,3126.00,32931.00,42.00,2.00,1610.00,590.00,683.00,0.00,13614.00,43.00,"Range-18",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"28/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,47551.00,3.75,31.20,19.60,23.96,83.00,7.20,"SUN",3,3,3191.00,329.00,1966.00,0.00,2596.00,25664.00,36.00,2.00,1547.00,700.00,700.00,0.00,10765.00,55.00,"Range-18",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"29/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,41051.00,3.00,25.80,21.40,22.80,91.00,0.70,"MON",1,3,1891.00,180.00,1389.00,0.00,1140.00,26871.00,22.00,1.00,758.00,376.00,358.00,0.00,8033.00,32.00,"Range-12",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"31/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,46244.00,16.80,25.50,17.20,21.02,78.00,9.90,"WED",1,3,2122.00,191.00,1449.00,0.00,1152.00,29680.00,13.00,1.00,880.00,370.00,350.00,0.00,10001.00,35.00,"Range-12",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"30/01/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,44406.00,35.10,21.80,18.20,19.80,85.00,3.97,"TUE",1,3,2027.00,146.00,1460.00,0.00,1143.00,28110.00,22.00,1.00,898.00,400.00,403.00,0.00,9755.00,41.00,"Range-13",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"01/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,44952.00,2.89,27.30,18.30,21.88,71.00,9.50,"TUR",1,2,1956.00,182.00,1451.00,0.00,1209.00,29415.00,17.00,1.00,950.00,377.00,401.00,0.00,8956.00,37.00,"Range-13",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"02/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,55679.00,2.89,27.80,18.60,22.36,71.00,4.30,"FRI",2,2,2944.00,374.00,2221.00,0.00,3112.00,30660.00,34.00,2.00,1745.00,505.00,647.00,0.00,13393.00,42.00,"Range-21",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"03/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,64654.00,2.89,25.90,18.10,20.86,72.75,7.40,"SAT",3,2,3346.00,472.00,2323.00,0.00,3920.00,36622.00,55.00,1.00,1874.00,660.00,752.00,0.00,14577.00,52.00,"Range-22",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"04/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,53530.00,2.89,25.70,16.70,20.84,71.75,5.40,"SUN",3,2,3569.00,387.00,2132.00,0.00,2903.00,28283.00,48.00,4.00,1605.00,900.00,811.00,0.00,12839.00,49.00,"Range-20",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"05/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,38919.00,2.89,25.40,18.20,21.08,74.75,5.10,"MON",1,2,1693.00,174.00,1310.00,0.00,1099.00,23955.00,11.00,3.00,798.00,445.00,384.00,0.00,9005.00,42.00,"Range-11",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"06/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,41083.00,2.89,24.40,17.70,20.82,78.00,0.50,"TUE",1,2,1847.00,161.00,1356.00,0.00,1133.00,25637.00,26.00,2.00,789.00,425.00,320.00,0.00,9360.00,27.00,"Range-11",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"08/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,50309.00,2.89,29.60,17.30,23.56,62.25,7.20,"TUR",1,2,2144.00,195.00,1612.00,0.00,1353.00,31841.00,19.00,2.00,1064.00,439.00,458.00,0.00,11135.00,47.00,"Range-14",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"09/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,62127.00,2.89,32.80,19.30,26.18,53.50,8.30,"FRI",2,2,3267.00,400.00,2387.00,0.00,3504.00,34491.00,31.00,5.00,1895.00,620.00,697.00,0.00,14793.00,37.00,"Range-23",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"10/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,58473.00,2.89,30.00,20.30,24.02,73.50,5.10,"SAT",3,2,2923.00,425.00,2222.00,0.00,3547.00,32082.00,48.00,4.00,1803.00,629.00,697.00,0.00,14048.00,45.00,"Range-21",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"11/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,50517.00,2.89,31.00,20.20,25.44,69.50,6.70,"SUN",3,2,3475.00,359.00,2096.00,0.00,2961.00,26408.00,29.00,3.00,1498.00,829.00,852.00,0.00,11944.00,63.00,"Range-20",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"07/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,43138.00,2.89,29.00,18.80,23.32,65.75,9.60,"WED",1,2,1867.00,159.00,1389.00,0.00,1255.00,27108.00,15.00,2.00,835.00,433.00,395.00,0.00,9648.00,32.00,"Range-12",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"12/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,80628.00,2.89,32.00,22.70,25.74,71.00,8.60,"MON",4,2,3426.00,373.00,2242.00,0.00,2299.00,52416.00,36.00,1.00,1589.00,698.00,763.00,0.00,16733.00,52.00,"Range-21",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"13/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,85833.00,3.75,24.50,18.60,20.32,85.50,3.97,"TUE",4,2,4411.00,388.00,2497.00,0.00,2428.00,54552.00,32.00,3.00,1853.00,855.00,813.00,0.00,17960.00,41.00,"Range-24",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
"16/02/2018","SAO PAULO","",0.00,0.00,0.00,0.00,0.00,53572.00,2.89,24.50,17.10,19.84,81.75,1.50,"FRI",2,2,3208.00,352.00,2081.00,0.00,3205.00,28101.00,29.00,3.00,1652.00,580.00,666.00,0.00,13645.00,50.00,"Range-19",0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.00,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
