"","data","praca","classe","web","ifood","call","android","iphone","total","precipitac","tempmax","tempmin","tempmed","umidade","insolacao","diasemana","diasem","mes","desserts","pizzas","beverage","cbmaker","combos","sfiha","kit1","kit2","snack","pastas","dishes","promotion","savory","salads","range","dessert1","desserte","pizzas1","pizzase","beverage1","beveragee","cbmaker1","cbmakere","combos1","combose","sfiha1","sfihae","kit11","kit1e","kit21","kit2e","snack1","snacke","pastas1","pastase","dishes1","dishese","promotion1","promotione","savory1","savorye","salads1","saladse","precipita1","tempmax1","tempmin1","tempmed1","insolacao1","umidade1"
"31","30/01/2018","SAO PAULO",NA,0,0,0,0,0,44406,35.1,21.8,18.2,19.8,85,0,"TUE",1,3,2027,146,1460,0,1143,28110,22,1,898,400,403,0,9755,41,"Range-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","01/02/2018","SAO PAULO",NA,0,0,0,0,0,44952,0,27.3,18.3,21.88,71,9.5,"TUR",1,1,1956,182,1451,0,1209,29415,17,1,950,377,401,0,8956,37,"Range-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","02/02/2018","SAO PAULO",NA,0,0,0,0,0,55679,0,27.8,18.6,22.36,71,4.3,"FRI",3,1,2944,374,2221,0,3112,30660,34,2,1745,505,647,0,13393,42,"Range-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","03/02/2018","SAO PAULO",NA,0,0,0,0,0,64654,0,25.9,18.1,20.86,72.75,7.4,"SAT",3,1,3346,472,2323,0,3920,36622,55,1,1874,660,752,0,14577,52,"Range-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","04/02/2018","SAO PAULO",NA,0,0,0,0,0,53530,0,25.7,16.7,20.84,71.75,5.4,"SUN",2,1,3569,387,2132,0,2903,28283,48,4,1605,900,811,0,12839,49,"Range-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","05/02/2018","SAO PAULO",NA,0,0,0,0,0,38919,0,25.4,18.2,21.08,74.75,5.1,"MON",1,1,1693,174,1310,0,1099,23955,11,3,798,445,384,0,9005,42,"Range-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","06/02/2018","SAO PAULO",NA,0,0,0,0,0,41083,0,24.4,17.7,20.82,78,0.5,"TUE",1,1,1847,161,1356,0,1133,25637,26,2,789,425,320,0,9360,27,"Range-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","08/02/2018","SAO PAULO",NA,0,0,0,0,0,50309,0,29.6,17.3,23.56,62.25,7.2,"TUR",1,1,2144,195,1612,0,1353,31841,19,2,1064,439,458,0,11135,47,"Range-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","09/02/2018","SAO PAULO",NA,0,0,0,0,0,62127,1.4,32.8,19.3,26.18,53.5,8.3,"FRI",3,1,3267,400,2387,0,3504,34491,31,5,1895,620,697,0,14793,37,"Range-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","10/02/2018","SAO PAULO",NA,0,0,0,0,0,58473,0,30,20.3,24.02,73.5,5.1,"SAT",3,1,2923,425,2222,0,3547,32082,48,4,1803,629,697,0,14048,45,"Range-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","11/02/2018","SAO PAULO",NA,0,0,0,0,0,50517,10.2,31,20.2,25.44,69.5,6.7,"SUN",2,1,3475,359,2096,0,2961,26408,29,3,1498,829,852,0,11944,63,"Range-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","07/02/2018","SAO PAULO",NA,0,0,0,0,0,43138,0,29,18.8,23.32,65.75,9.6,"WED",1,1,1867,159,1389,0,1255,27108,15,2,835,433,395,0,9648,32,"Range-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","12/02/2018","SAO PAULO",NA,0,0,0,0,0,80628,0,32,22.7,25.74,71,8.6,"MON",1,1,3426,373,2242,0,2299,52416,36,1,1589,698,763,0,16733,52,"Range-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","13/02/2018","SAO PAULO",NA,0,0,0,0,0,85833,2,24.5,18.6,20.32,85.5,0,"TUE",1,1,4411,388,2497,0,2428,54552,32,3,1853,855,813,0,17960,41,"Range-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","16/02/2018","SAO PAULO",NA,0,0,0,0,0,53572,0.2,24.5,17.1,19.84,81.75,1.5,"FRI",3,1,3208,352,2081,0,3205,28101,29,3,1652,580,666,0,13645,50,"Range-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","17/02/2018","SAO PAULO",NA,0,0,0,0,0,64057,0,27,17.9,21.42,78.75,4.7,"SAT",3,1,3211,385,2308,0,4094,35898,28,1,1849,646,759,0,14813,65,"Range-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","18/02/2018","SAO PAULO",NA,0,0,0,0,0,48766,0,23.8,19.8,21.32,81.25,0,"SUN",2,1,3494,291,2029,0,2666,24787,20,3,1599,879,774,0,12169,55,"Range-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","14/02/2018","SAO PAULO",NA,0,0,0,0,0,59647,0,22.2,18.2,20.18,85.25,0,"WED",1,1,2604,281,1891,0,1662,37074,24,0,1228,618,615,0,13612,38,"Range-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","15/02/2018","SAO PAULO",NA,0,0,0,0,0,38244,1.3,24.1,17.8,20.5,85.5,0.2,"TUR",1,1,1737,159,1255,0,1045,23493,17,2,796,442,406,0,8853,39,"Range-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","24/02/2018","SAO PAULO",NA,0,0,0,0,0,64211,0,27.5,17.8,22.08,70,10.3,"SAT",3,1,3282,432,2234,0,3845,35360,55,3,1931,747,720,0,15547,55,"Range-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","21/02/2018","SAO PAULO",NA,0,0,0,0,0,36354,5,29.7,21.5,25.32,62,10.9,"WED",1,1,1565,153,1205,0,946,22499,7,2,754,388,393,0,8399,43,"Range-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","22/02/2018","SAO PAULO",NA,0,0,0,0,0,42688,0,30.2,20.4,23.72,86,7,"TUR",1,1,1960,189,1428,0,1160,26441,17,3,985,463,457,0,9548,37,"Range-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","25/02/2018","SAO PAULO",NA,0,0,0,0,0,46878,0,26.8,17.6,21.84,76,7.3,"SUN",2,1,3323,324,1980,0,2639,24042,28,4,1489,873,780,0,11336,60,"Range-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","23/02/2018","SAO PAULO",NA,0,0,0,0,0,52470,9,27.3,19.3,22.2,79,7.8,"FRI",3,1,2722,382,2089,0,3044,28378,30,3,1657,572,663,0,12879,51,"Range-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","26/02/2018","SAO PAULO",NA,0,0,0,0,0,41636,0,27.2,19.6,22.2,88,1.1,"MON",1,1,1738,183,1464,0,1232,24960,12,4,910,428,417,0,10257,31,"Range-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","20/02/2018","SAO PAULO",NA,0,0,0,0,0,37692,0,27.7,21.2,23.76,83,1.8,"TUE",1,1,1538,142,1282,0,995,23244,12,1,750,404,408,0,8870,46,"Range-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","28/02/2018","SAO PAULO",NA,0,0,0,0,0,46810,0,30.3,19.5,24.06,77,9.3,"WED",1,1,2007,162,1604,0,1285,29132,13,2,1037,484,439,0,10602,43,"Range-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","27/02/2018","SAO PAULO",NA,0,0,0,0,0,34290,73.1,28.5,19,22.92,84,3.6,"TUE",1,1,1687,125,1279,0,1013,20200,28,0,760,402,381,0,8391,24,"Range-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","02/03/2018","SAO PAULO",NA,0,0,0,0,0,65565,0.5,31.4,21.3,24.48,83.75,6.8,"FRI",3,2,4362,403,2491,0,3453,35648,34,5,1726,564,659,545,15632,43,"Range-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","03/03/2018","SAO PAULO",NA,0,0,0,0,0,69873,4.2,29.5,20,23.74,77,6.8,"SAT",3,2,4288,440,2374,0,3750,38108,41,2,1816,755,854,618,16782,45,"Range-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","01/03/2018","SAO PAULO",NA,0,0,0,0,0,45672,0,30.6,20.9,24.7,80.25,6.9,"TUR",1,2,2481,221,1597,0,1084,27840,10,1,1018,435,472,58,10407,48,"Range-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","04/03/2018","SAO PAULO",NA,0,0,0,0,0,53617,0,31.3,21,24.82,83.75,5.6,"SUN",2,2,4300,374,2129,0,2643,27007,26,5,1455,849,757,772,13253,47,"Range-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","09/03/2018","SAO PAULO",NA,0,0,0,0,0,58334,0.4,26.8,19.2,22.08,77.25,3.4,"FRI",3,2,3715,406,2200,0,3667,31791,52,11,1602,493,539,942,12875,41,"Range-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","10/03/2018","SAO PAULO",NA,0,0,0,0,0,68737,0,27.5,20.1,22.44,84.5,2.3,"SAT",3,2,4639,472,2484,0,4496,38143,59,7,1856,707,724,1034,14066,50,"Range-33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","07/03/2018","SAO PAULO",NA,0,0,0,0,0,45304,2.2,30,21.3,23.94,84.25,5.1,"WED",1,2,2469,177,1449,0,1157,27917,23,4,860,406,446,481,9876,39,"Range-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
